Sample Name:,in office measurements,Descriptions from Geolgoy notebook,Lab notes ,Anatomy ,Anatomy ,Sample Site,Coordinates,Latitude (°N),Longitude (°W)
MESQUITE FLATS SAND MF-4B,,"interdune, massive mudcracks, mudcracks, brownie brittle","light beige clay, chunky",Interdune,Interdune,Mesquite Flat,"36.61617N, 117.11751W",36.61617,117.11751
MESQUITE FLATS SAND MF-5B,CL,stoss,medium sand with oxides,Stoss,Stoss,Mesquite Flat,"36.61474N, 117.11369W ",36.61474,117.11369
MESQUITE FLATS SAND MF-6B,,"lee, finer grained than 5",medium/fine sand with oxides,Lee,Lee,Mesquite Flat,"36.614722N, -117.1133W",36.614722,-117.1133
MESQUITE FLATS SAND MF-7B,,"interdune, mud - disturbed (didn't write if distrubed by people or water)","light beige clay, chunky",Interdune,Interdune,Mesquite Flat,"36.61391N, 117.11299W",36.61391,117.11299
MESQUITE FLATS SAND MF-8B,,"interdune, indurated horizon, cemented, thin vaneer, pink","light beige clay, powdery","Interdune , Horizon",Interdune-Horizon,Mesquite Flat,"36.61391N, 117.11299W",36.61391,117.11299
MESQUITE FLATS SAND MF-11A,,"interdune, indurated horizon, very resistant",beige clay,"Interdune , Pond",Interdune-Pond,Mesquite Flat,"36.61559N, 117.12206W",36.61559,117.12206
MESQUITE FLATS SAND MF-12A,,"interdune, pink, thin (potato chip)",beige clay,"Interdune , Pond",Interdune-Pond,Mesquite Flat,"36.61559N, 117.12206W",36.61559,117.12206
MESQUITE FLATS SAND MF-13A,,"stoss, 2 mm depth",medium sand,Stoss,Stoss,Mesquite Flat,"36.61419N, 117.12077W",36.61419,117.12077
MESQUITE FLATS SAND MF-14B,,upper fine sand ,medium/fine sand,Lee,Lee,Mesquite Flat,"36.61391N, 117.12043W",36.61391,117.12043
MESQUITE FLATS SAND MF-15A,,"interdune, mudcrack representative of rest of dune field, clay texture extends down into mudcracks 10 cm (drawing)",light beige clay,Interdune,Interdune,Mesquite Flat,"36.61354N, 117.12106W",36.61354,117.12106
MESQUITE FLATS SAND MF-16A,,"stoss, medium sand, colder (wetter)",coarse sand,Stoss,Stoss,Mesquite Flat,"36.61289N, 117.11925W",36.61289,117.11925
MESQUITE FLATS SAND MF-17A,,"lee, avalanche slip face 18 degree dip",coarse/fine sand with oxides,Lee,Lee,Mesquite Flat,"36.61253N, 117.11896W",36.61253,117.11896
MESQUITE FLATS SAND MF-18B,,"interdune, hummocky",light brown muddy clay,Interdune,Interdune,Mesquite Flat,"36.61218N,117.11875W",36.61218,117.11875
MESQUITE FLATS SAND MF-19A,,"stoss, 2-3 mm depth, coarser grains on surface ",medium/coarse sand with oxides,Stoss,Stoss,Mesquite Flat,"36.61210N, 117.11831W",36.6121,117.11831
MESQUITE FLATS SAND MF-20A,,"Lee, 0-2 mm depth",fine sand,Lee,Lee,Mesquite Flat,"36.61165N, 117.11818W",36.61165,117.11818
MESQUITE FLATS SAND MF-27B,,interdune,light biege/white clay,Interdune,Interdune,Mesquite Flat,"36.61197N, 117.10994W",36.61197,117.10994
MESQUITE FLATS SAND MF-28A,,"interdune, sampled surface under mud at depth of 10mm",medium sand with oxides,"Interdune , At Depth (mm)","Interdune, at depth",Mesquite Flat,"36.61125N, 117.11812W",36.61125,117.11812
MESQUITE FLATS SAND MF-30A,,"lee, slip face angle 30 degrees",medium sand with oxides,Lee,Lee,Mesquite Flat,"36.61253N, 117.11896W",36.61253,117.11896
