Sample Name:,Field,Morphology,GrainSize
MF.4B,Mesquite,Interdune,
MF.5B,Mesquite,Stoss,0.76
MF.6B,Mesquite,Lee,0.76
MF.7B,Mesquite,Interdune,
MF.8B,Mesquite,Interdune,
MF.11A,Mesquite,Interdune,
MF.12A,Mesquite,Interdune,
MF.13A,Mesquite,Stoss,0.76
MF.14B,Mesquite,Lee,1.76
MF.15A,Mesquite,Interdune,
MF.16A,Mesquite,Stoss,0.76
MF.17A,Mesquite,Lee,1.26
MF.18B,Mesquite,Interdune,
MF.19A,Mesquite,Stoss,0.26
MF.20A,Mesquite,Lee,0.76
MF.27B,Mesquite,Interdune,
MF.28A,Mesquite,"Interdune, Depth",1.26
MF.30A,Mesquite,Lee,0.76
MF.31B,Mesquite,"Stoss, Depth",0.76
MF.33A,Mesquite,Interdune,1.26
ED.01A,Eureka,Stoss,0.76
ED.02B,Eureka,Stoss,1.26
ED.03A,Eureka,Lee,0.76
ED.04A,Eureka,Lee,1.26
ED.05A,Eureka,Lee,1.26
ED.06A,Eureka,Stoss,1.76
ED.08A,Eureka,Stoss,1.76
ED.09A,Eureka,Lee,1.26
ED.10A,Eureka,Stoss,0.76
ED.11A,Eureka,Lee,1.26
ED.12A,Eureka,"Stoss, Star",1.76
ED.13A,Eureka,"Stoss, Star",1.26
ED.14B,Eureka,"Lee, Star",1.76
ED.15B,Eureka,"Stoss, Star",1.76
ED.16A,Eureka,"Stoss, Star",1.26
ED.17B,Eureka,Stoss,1.26
ED.18A,Eureka,Lee,1.76
ED.19A,Eureka,Stoss,1.76
ED.20A,Eureka,Stoss,1.76
ED.21A,Eureka,Lee,1.26
ED.22A,Eureka,Lee,1.26
ED.23A,Eureka,Lee,1.26
ED.24A,Eureka,Lee,1.26
ED.33A,Eureka,Interdune,
IX.1B,Ibex,Interdune,0.26
IX.2A,Ibex,Stoss,1.26
IX.3A,Ibex,Stoss,1.76
IX.4B,Ibex,Stoss,1.76
IX.5A,Ibex,Lee,1.76
IX.6A,Ibex,Lee,1.26
IX.7A,Ibex,Interdune,1.26
IX.8A,Ibex,Lee,0.26
IX.9A,Ibex,"Stoss, Crest",0.26
IX.10A,Ibex,Lee,0.26
IX.10CM.A,Ibex,"Interdune, Depth",0.76
IX.20CM.B,Ibex,"Interdune, Depth",1.26
IX.30CM.A,Ibex,"Interdune, Depth",0.26
IX.40CM.A,Ibex,"Interdune, Depth",0.26
IX.50CM.A,Ibex,"Interdune, Depth",0.26
IX.60CM.A,Ibex,"Interdune, Depth",0.26
IX.70CM.A,Ibex,"Interdune, Depth",0.76
IX.80CM.A,Ibex,"Interdune, Depth",0.76
