"","freq","prev","p.freq","p.prev","p","contaminant"
"Zotu6184",9.03916383026982e-06,4,NA,0.0317460317460317,0.0317460317460317,TRUE
"Zotu4628",2.65852938319985e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu6050",2.12287321444705e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu4260",4.94365339999463e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu6177",4.00581002533506e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu3433",2.98983039691875e-05,5,NA,0.0396825396825397,0.0396825396825397,TRUE
"Zotu6255",2.38470416474088e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu2995",3.38633387801009e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu4734",1.58465230882239e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu5784",3.39174743941172e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu6215",1.79078091694166e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu4390",2.13466273570436e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3253",4.14026608818405e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu2946",3.65502081062431e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3406",2.66537283078627e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu3382",4.37396662203051e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu4312",4.17238563936816e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu5490",2.91314898284815e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu4340",6.42973828501103e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu6038",2.44649526387773e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu5656",1.91199286746054e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu4274",3.06854506215214e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu4455",2.0467192291968e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu5750",1.2183127152332e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu3232",4.67855777363667e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu5929",1.52008629836976e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu5500",1.30037732375808e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu4720",2.86541970827886e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu5767",3.92368859891393e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu3003",3.57912264089047e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu3713",2.6540080074269e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu3118",2.7668194072051e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu2915",3.22206766440093e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu4694",2.61116747285411e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu4560",4.53087307524802e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu2692",5.6612339793498e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu4873",1.20704845859163e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu5520",2.49627319484799e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu4169",3.47104865327574e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu4470",2.91142294392235e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu4845",1.77937098842466e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu6278",2.23477390200241e-05,3,NA,0.0238095238095238,0.0238095238095238,TRUE
"Zotu3723",3.41827047058502e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu1953",5.87737421930512e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu1688",7.8341481035546e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu4419",1.68939482079807e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu4903",2.12469569378936e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu4668",2.62045530077735e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu4540",2.4771471281244e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu2242",5.05350563054969e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu4583",1.14906712710969e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu3530",3.29784153250809e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu2640",5.63596167668459e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu1798",7.73750732580774e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu5060",2.03663847229879e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu1351",0.000107395348964606,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu6041",1.57584268627371e-05,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu2484",6.42779489506462e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu5261",2.61355602522716e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu1988",8.25437456840406e-05,6,NA,0.0476190476190477,0.0476190476190477,TRUE
"Zotu5862",1.94835227141872e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu415",0.000405996776445271,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu4068",3.2501200069994e-05,11,NA,0.0873015873015873,0.0873015873015873,TRUE
"Zotu3342",3.54827858346879e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu2813",4.44989664694012e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu4418",2.17220335436419e-05,12,NA,0.0952380952380952,0.0952380952380952,TRUE
"Zotu1230",0.000141993405981594,9,NA,0.0714285714285715,0.0714285714285715,TRUE
"Zotu6311",1.15430847706758e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu4261",2.30861944701395e-05,8,NA,0.0634920634920635,0.0634920634920635,TRUE
"Zotu3823",2.68553326301908e-05,7,NA,0.0555555555555555,0.0555555555555555,TRUE
"Zotu2006",5.27050437574467e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
"Zotu3802",4.26429034600558e-05,10,NA,0.0793650793650794,0.0793650793650794,TRUE
