"","freq","prev","p.freq","p.prev","p","contaminant"
"Zotu198",0.000868039284160209,57,NA,0.452380952380952,0.452380952380952,FALSE
"Zotu5",0.00867167386449028,63,NA,0.5,0.5,FALSE
"Zotu62",0.00249963858636997,31,NA,0.746031746031746,0.746031746031746,FALSE
"Zotu15",0.00475890854148949,61,NA,0.984126984126984,0.984126984126984,FALSE
"Zotu66",0.001637879742401,59,NA,0.468253968253968,0.468253968253968,FALSE
"Zotu766",0.000226027247600427,24,NA,0.69047619047619,0.69047619047619,FALSE
"Zotu5726",1.79579313536103e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu282",0.000732571761728501,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu7",0.00788876736966915,63,NA,0.5,0.5,FALSE
"Zotu58",0.00254632681626609,63,NA,0.5,0.5,FALSE
"Zotu236",0.000706636132271522,54,NA,0.428571428571428,0.428571428571428,FALSE
"Zotu342",0.000444422398528227,41,NA,0.825396825396825,0.825396825396825,FALSE
"Zotu1",0.0764830828155721,63,NA,0.5,0.5,FALSE
"Zotu5769",2.19025641764673e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu2615",4.24568560210187e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu802",0.000170363732695363,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu70",0.00166001972636602,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu14",0.00485443455894468,31,NA,0.746031746031746,0.746031746031746,FALSE
"Zotu132",0.00112193434814787,44,NA,0.849206349206349,0.849206349206349,FALSE
"Zotu147",0.000893195337424627,58,NA,0.46031746031746,0.46031746031746,FALSE
"Zotu10",0.00544604297379864,63,NA,0.5,0.5,FALSE
"Zotu314",0.000475337794149396,46,NA,0.865079365079365,0.865079365079365,FALSE
"Zotu6",0.00714361294199804,63,NA,0.5,0.5,FALSE
"Zotu285",0.00087296506368274,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu840",0.00019149363334964,31,NA,0.746031746031746,0.746031746031746,FALSE
"Zotu183",0.000811742600115165,52,NA,0.912698412698413,0.912698412698413,FALSE
"Zotu52",0.00251752069913728,63,NA,0.5,0.5,FALSE
"Zotu85",0.00143922079704758,63,NA,0.5,0.5,FALSE
"Zotu446",0.000377095447711228,30,NA,0.738095238095238,0.738095238095238,FALSE
"Zotu151",0.000937663494419846,56,NA,0.444444444444444,0.444444444444444,FALSE
"Zotu162",0.00122166869416352,56,NA,0.944444444444444,0.944444444444444,FALSE
"Zotu8",0.00602593762989569,63,NA,0.5,0.5,FALSE
"Zotu1023",0.000140120049883684,20,NA,0.658730158730159,0.658730158730159,FALSE
"Zotu156",0.000959617451545462,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu1427",0.000106835950135801,19,NA,0.650793650793651,0.650793650793651,FALSE
"Zotu2021",8.47296250335125e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu3",0.0232560759377101,63,NA,0.5,0.5,FALSE
"Zotu358",0.000502379691689744,28,NA,0.722222222222222,0.722222222222222,FALSE
"Zotu1283",0.000107499931328138,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu347",0.00167819394357658,56,NA,0.444444444444444,0.444444444444444,FALSE
"Zotu43",0.00228252067858608,34,NA,0.76984126984127,0.76984126984127,FALSE
"Zotu434",0.000421897627363582,53,NA,0.920634920634921,0.920634920634921,FALSE
"Zotu1703",9.78146547472671e-05,28,NA,0.222222222222222,0.222222222222222,FALSE
"Zotu467",0.000355588535270889,47,NA,0.873015873015873,0.873015873015873,FALSE
"Zotu69",0.00181344509244905,60,NA,0.476190476190476,0.476190476190476,FALSE
"Zotu235",0.000663121326418417,53,NA,0.420634920634921,0.420634920634921,FALSE
"Zotu2133",5.53804636555909e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu74",0.00183895228721515,63,NA,0.5,0.5,FALSE
"Zotu460",0.000311111193452757,32,NA,0.753968253968254,0.753968253968254,FALSE
"Zotu44",0.00229317701294137,57,NA,0.452380952380952,0.452380952380952,FALSE
"Zotu1186",0.000120165115337094,33,NA,0.261904761904762,0.261904761904762,FALSE
"Zotu166",0.000988019166373356,60,NA,0.476190476190476,0.476190476190476,FALSE
"Zotu542",0.000343601540331692,56,NA,0.444444444444444,0.444444444444444,FALSE
"Zotu1707",8.09444432771676e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu1141",0.000136786296458954,22,NA,0.674603174603175,0.674603174603175,FALSE
"Zotu109",0.00109348420612361,38,NA,0.801587301587302,0.801587301587302,FALSE
"Zotu2256",5.79704890077588e-05,10,NA,0.57936507936508,0.57936507936508,FALSE
"Zotu29",0.00287738908100076,63,NA,0.5,0.5,FALSE
"Zotu18",0.00418259577114778,63,NA,0.5,0.5,FALSE
"Zotu83",0.00145809673302027,63,NA,0.5,0.5,FALSE
"Zotu280",0.000602350042133269,53,NA,0.920634920634921,0.920634920634921,FALSE
"Zotu3014",3.91860146464914e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu5707",7.98947602379987e-05,13,NA,0.603174603174603,0.603174603174603,FALSE
"Zotu1440",8.64531539475498e-05,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu287",0.000635048129126697,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu64",0.00183120737448236,63,NA,0.5,0.5,FALSE
"Zotu2417",4.95696179066921e-05,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu33",0.00319560342619882,63,NA,0.5,0.5,FALSE
"Zotu315",0.000538868534782448,60,NA,0.476190476190476,0.476190476190476,FALSE
"Zotu17",0.00363981034112141,63,NA,0.5,0.5,FALSE
"Zotu471",0.000345100379057844,33,NA,0.761904761904762,0.761904761904762,FALSE
"Zotu1645",8.70952003590263e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu189",0.000777189300453225,60,NA,0.476190476190476,0.476190476190476,FALSE
"Zotu46",0.00266749694950634,63,NA,0.5,0.5,FALSE
"Zotu907",0.000210774852820182,30,NA,0.738095238095238,0.738095238095238,FALSE
"Zotu45",0.00214850054439638,63,NA,0.5,0.5,FALSE
"Zotu330",0.000456426335791993,48,NA,0.880952380952381,0.880952380952381,FALSE
"Zotu2866",3.3992667991507e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu814",0.000231133867707876,43,NA,0.841269841269841,0.841269841269841,FALSE
"Zotu394",0.0010993203286069,46,NA,0.365079365079365,0.365079365079365,FALSE
"Zotu1980",7.34661545914669e-05,20,NA,0.658730158730159,0.658730158730159,FALSE
"Zotu75",0.0016028394588511,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu1360",0.00013766441934751,25,NA,0.698412698412698,0.698412698412698,FALSE
"Zotu35",0.0023048951483534,31,NA,0.746031746031746,0.746031746031746,FALSE
"Zotu1138",0.000166253787755023,40,NA,0.317460317460317,0.317460317460317,FALSE
"Zotu3208",5.98503129728029e-05,25,NA,0.698412698412698,0.698412698412698,FALSE
"Zotu3924",1.48968983860527e-05,3,NA,0.523809523809524,0.523809523809524,FALSE
"Zotu179",0.000905362109154301,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu693",0.00018500751525754,25,NA,0.698412698412698,0.698412698412698,FALSE
"Zotu291",0.000576390596159312,58,NA,0.46031746031746,0.46031746031746,FALSE
"Zotu4787",7.68337796071652e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu2898",4.41018796258171e-05,19,NA,0.150793650793651,0.150793650793651,FALSE
"Zotu27",0.00288410459632893,63,NA,0.5,0.5,FALSE
"Zotu2601",5.21711749324158e-05,27,NA,0.714285714285714,0.714285714285714,FALSE
"Zotu1546",0.000101091810760608,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu405",0.000392961423906729,40,NA,0.317460317460317,0.317460317460317,FALSE
"Zotu5819",3.13351363602559e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu93",0.00128884212259284,63,NA,0.5,0.5,FALSE
"Zotu641",0.000248739493846406,50,NA,0.896825396825397,0.896825396825397,FALSE
"Zotu305",0.000592005299440799,56,NA,0.944444444444444,0.944444444444444,FALSE
"Zotu110",0.00112321851078188,63,NA,0.5,0.5,FALSE
"Zotu233",0.000726388922825581,60,NA,0.476190476190476,0.476190476190476,FALSE
"Zotu295",0.000582983402693952,56,NA,0.444444444444444,0.444444444444444,FALSE
"Zotu155",0.000902205225391045,33,NA,0.761904761904762,0.761904761904762,FALSE
"Zotu568",0.000306696095822315,45,NA,0.857142857142857,0.857142857142857,FALSE
"Zotu3311",6.30578958990259e-05,29,NA,0.73015873015873,0.73015873015873,FALSE
"Zotu82",0.00154531215718739,60,NA,0.976190476190476,0.976190476190476,FALSE
"Zotu1444",9.60282251970917e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu2457",6.54141463205542e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu387",0.000374873465038076,43,NA,0.841269841269841,0.841269841269841,FALSE
"Zotu165",0.00091039501560523,60,NA,0.476190476190476,0.476190476190476,FALSE
"Zotu19",0.00396497069412037,63,NA,0.5,0.5,FALSE
"Zotu2891",5.86842628818059e-05,3,NA,0.523809523809524,0.523809523809524,FALSE
"Zotu20",0.00429895619722458,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu5218",1.89070506691279e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu3087",4.32059929933169e-05,16,NA,0.626984126984127,0.626984126984127,FALSE
"Zotu2411",3.13840238346483e-05,4,NA,0.531746031746032,0.531746031746032,FALSE
"Zotu5069",9.93586729865472e-06,3,NA,0.523809523809524,0.523809523809524,FALSE
"Zotu81",0.0014627514508315,59,NA,0.468253968253968,0.468253968253968,FALSE
"Zotu4",0.0146684712501064,63,NA,0.5,0.5,FALSE
"Zotu2310",4.25502576855165e-05,9,NA,0.571428571428571,0.571428571428571,FALSE
"Zotu2511",5.52372300620863e-05,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu23",0.00304859585886053,63,NA,0.5,0.5,FALSE
"Zotu30",0.003101531564544,63,NA,0.5,0.5,FALSE
"Zotu50",0.00184089548240841,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu478",0.000343985579037837,42,NA,0.333333333333333,0.333333333333333,FALSE
"Zotu31",0.00278246381416215,63,NA,0.5,0.5,FALSE
"Zotu4825",2.74878612677262e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu450",0.000563900582477082,58,NA,0.46031746031746,0.46031746031746,FALSE
"Zotu1096",0.000159862467829052,22,NA,0.674603174603175,0.674603174603175,FALSE
"Zotu4108",2.71089227268889e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu652",0.000266898250536273,34,NA,0.76984126984127,0.76984126984127,FALSE
"Zotu310",0.000550281810004548,53,NA,0.420634920634921,0.420634920634921,FALSE
"Zotu25",0.0032372078986019,63,NA,0.5,0.5,FALSE
"Zotu203",0.000770490930224338,53,NA,0.420634920634921,0.420634920634921,FALSE
"Zotu56",0.00207846608405577,61,NA,0.484126984126984,0.484126984126984,FALSE
"Zotu119",0.00113551382473381,63,NA,0.5,0.5,FALSE
"Zotu199",0.000837460353109125,34,NA,0.76984126984127,0.76984126984127,FALSE
"Zotu3517",2.56702005208241e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu587",0.000249114429762772,47,NA,0.873015873015873,0.873015873015873,FALSE
"Zotu1027",0.000156258314590501,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu79",0.00147626463273201,63,NA,0.5,0.5,FALSE
"Zotu961",0.000139659471278841,19,NA,0.650793650793651,0.650793650793651,FALSE
"Zotu706",0.000301819795083831,38,NA,0.801587301587302,0.801587301587302,FALSE
"Zotu36",0.00298485424361894,63,NA,0.5,0.5,FALSE
"Zotu3478",3.6598168673721e-05,8,NA,0.563492063492063,0.563492063492063,FALSE
"Zotu4114",1.91234936757516e-05,12,NA,0.595238095238095,0.595238095238095,FALSE
"Zotu1626",8.70840843736672e-05,33,NA,0.761904761904762,0.761904761904762,FALSE
"Zotu149",0.000957502750154212,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu207",0.00072379664180746,57,NA,0.452380952380952,0.452380952380952,FALSE
"Zotu2404",5.90296146892373e-05,19,NA,0.650793650793651,0.650793650793651,FALSE
"Zotu32",0.00271913731193979,63,NA,0.5,0.5,FALSE
"Zotu578",0.000297670582701215,21,NA,0.666666666666667,0.666666666666667,FALSE
"Zotu223",0.000758772413172248,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu782",0.000200644085002117,29,NA,0.73015873015873,0.73015873015873,FALSE
"Zotu3696",2.48703232759231e-05,7,NA,0.555555555555556,0.555555555555556,FALSE
"Zotu5303",3.57155396077277e-05,18,NA,0.642857142857143,0.642857142857143,FALSE
"Zotu213",0.000769909859847596,62,NA,0.492063492063492,0.492063492063492,FALSE
"Zotu546",0.000314893419618013,38,NA,0.801587301587302,0.801587301587302,FALSE
"Zotu108",0.00139924608809901,59,NA,0.468253968253968,0.468253968253968,FALSE
"Zotu225",0.000697666245537114,63,NA,0.5,0.5,FALSE
"Zotu325",0.000467421713050481,57,NA,0.452380952380952,0.452380952380952,FALSE
"Zotu180",0.000792542659027433,31,NA,0.746031746031746,0.746031746031746,FALSE
"Zotu941",0.000165526527017588,30,NA,0.238095238095238,0.238095238095238,FALSE
"Zotu4771",4.53846585581944e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu369",0.000398479044358059,52,NA,0.912698412698413,0.912698412698413,FALSE
"Zotu88",0.00135439157641633,63,NA,0.5,0.5,FALSE
"Zotu9",0.00573033684417818,63,NA,0.5,0.5,FALSE
"Zotu3334",6.54128733587085e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu486",0.000367057208618984,57,NA,0.452380952380952,0.452380952380952,FALSE
"Zotu2334",6.06907046830949e-05,15,NA,0.619047619047619,0.619047619047619,FALSE
"Zotu1335",0.000112099972854362,28,NA,0.222222222222222,0.222222222222222,FALSE
"Zotu3751",4.21385618416171e-05,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu1004",0.000146184603918331,35,NA,0.777777777777778,0.777777777777778,FALSE
"Zotu408",0.000408251724403075,47,NA,0.373015873015873,0.373015873015873,FALSE
"Zotu424",0.000370189718929037,27,NA,0.714285714285714,0.714285714285714,FALSE
"Zotu59",0.00199129342979297,63,NA,0.5,0.5,FALSE
"Zotu445",0.000425930268361364,41,NA,0.825396825396825,0.825396825396825,FALSE
"Zotu13",0.00499928927616042,63,NA,0.5,0.5,FALSE
"Zotu1193",0.000107948462115933,29,NA,0.23015873015873,0.23015873015873,FALSE
"Zotu2",0.0254189958075872,63,NA,0.5,0.5,FALSE
"Zotu41",0.0024054981338984,63,NA,0.5,0.5,FALSE
"Zotu536",0.000330266346315369,53,NA,0.420634920634921,0.420634920634921,FALSE
"Zotu635",0.000211901967090236,28,NA,0.722222222222222,0.722222222222222,FALSE
"Zotu1895",0.000100823337022182,29,NA,0.73015873015873,0.73015873015873,FALSE
"Zotu1132",0.000102456825946932,14,NA,0.611111111111111,0.611111111111111,FALSE
"Zotu344",0.000449302406258243,51,NA,0.404761904761905,0.404761904761905,FALSE
"Zotu143",0.000969903794218188,32,NA,0.753968253968254,0.753968253968254,FALSE
"Zotu5906",3.97638234474178e-05,11,NA,0.587301587301587,0.587301587301587,FALSE
"Zotu4975",4.64290399645683e-05,17,NA,0.634920634920635,0.634920634920635,FALSE
"Zotu5627",2.3088860135765e-05,6,NA,0.547619047619048,0.547619047619048,FALSE
"Zotu964",0.000177919670386413,32,NA,0.253968253968254,0.253968253968254,FALSE
