"","MESQUITE.FLATS.SAND.MF.4B","MESQUITE.FLATS.SAND.MF.5B","MESQUITE.FLATS.SAND.MF.6B","MESQUITE.FLATS.SAND.MF.7B","MESQUITE.FLATS.SAND.MF.8B","MESQUITE.FLATS.SAND.MF.11A","MESQUITE.FLATS.SAND.MF.12A","MESQUITE.FLATS.SAND.MF.13A","MESQUITE.FLATS.SAND.MF.14B","MESQUITE.FLATS.SAND.MF.15A","MESQUITE.FLATS.SAND.MF.16A","MESQUITE.FLATS.SAND.MF.17A","MESQUITE.FLATS.SAND.MF.18B","MESQUITE.FLATS.SAND.MF.19A","MESQUITE.FLATS.SAND.MF.20A","MESQUITE.FLATS.SAND.MF.27B","MESQUITE.FLATS.SAND.MF.28A","MESQUITE.FLATS.SAND.MF.30A","MESQUITE.FLATS.SAND.MF.31B","MESQUITE.FLATS.SAND.MF.33A","EUREKA.SAND.ED.01A","EUREKA.SAND.ED.02B","EUREKA.SAND.ED.03A","EUREKA.SAND.ED.04A","EUREKA.SAND.ED.05A","EUREKA.SAND.ED.06A","EUREKA.SAND.ED.08A","EUREKA.SAND.ED.09A","EUREKA.SAND.ED.10A","EUREKA.SAND.ED.11A","EUREKA.SAND.ED.12A","EUREKA.SAND.ED.13A","EUREKA.SAND.ED.14B","EUREKA.SAND.ED.15B","EUREKA.SAND.ED.16A","EUREKA.SAND.ED.17B","EUREKA.SAND.ED.18A","EUREKA.SAND.ED.19A","EUREKA.SAND.ED.20A","EUREKA.SAND.ED.21A","EUREKA.SAND.ED.22A","EUREKA.SAND.ED.23A","EUREKA.SAND.ED.24A","EUREKA.SAND.ED.33A","IBEX.SAND.IX.1B","IBEX.SAND.IX.2A","IBEX.SAND.IX.3A","IBEX.SAND.IX.4B","IBEX.SAND.IX.5A","IBEX.SAND.IX.6A","IBEX.SAND.IX.7A","IBEX.SAND.IX.8A","IBEX.SAND.IX.9A","IBEX.SAND.IX.10A","IBEX.SAND.IX.10CM.A","IBEX.SAND.IX.2OCM.B","IBEX.SAND.IX.3OCM.A","IBEX.SAND.IX.40CM.A","IBEX.SAND.IX.50CM.A","IBEX.SAND.IX.60CM.A","IBEX.SAND.IX.70CM.A","IBEX.SAND.IX.80CM.A"
"Zotu198",585,10,49,16,15,6,16,5,3,4,16,67,10,11,21,10,20,3,4,149,223,2,8,3,7,5,10,7,3,34,2,0,4,0,2,3,4,4,3,5,4,2,53,11,292,1,2,0,0,1,12,15,4,22,0,0,1,3,3,2,1,5
"Zotu5",384,393,169,161,41,39,333,339,481,1176,414,283,34,570,146,23,41,105,186,463,48,316,316,28,283,77,238,456,165,408,35,326,106,192,210,28,402,442,22,427,43,784,826,27,56,1204,714,430,778,1357,480,134,91,165,25,27,46,21,34,44,106,187
"Zotu62",4151,11,15,15,26,54,48,22,16,50,17,35,15,20,17,137,26,27,11,190,20,12,37,8,24,15,68,21,19,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu15",5905,102,118,28,36,143,163,40,34,78,61,99,21,91,110,800,58,101,18,494,187,28,77,27,27,29,63,40,31,63,39,2,4,2,3,4,4,4,7,2,2,3,2,4,462,4,7,8,1,3,35,60,21,29,0,4,2,4,5,2,4,24
"Zotu66",282,150,38,12,5,6,1202,347,34,123,7,92,11,73,78,141,22,14,6,14,17,12,12,11,16,15,13,11,20,20,16,0,2,3,5,1,2,1,2,1,1,95,4,1,118,0,2,0,2,3,2,103,189,1,0,1,3,2,1,2,2,6
"Zotu766",381,0,4,1,1,2,5,4,0,31,1,5,0,2,1,2,1,0,2,4,3,0,1,3,0,4,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu5726",1,0,0,0,0,0,0,0,0,0,11,19,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu282",273,31,33,2,12,3,4,44,9,12,3,37,2,34,16,4,19,27,20,4,54,56,4,5,7,1,6,9,45,19,40,115,3,1,3,3,42,1,2,3,3,21,152,4,79,4,0,3,4,3,38,42,42,24,6,3,2,2,8,7,5,49
"Zotu7",1081,342,417,320,105,125,242,417,130,684,31,333,41,413,769,72,252,205,19,257,2892,81,120,44,209,62,70,273,236,819,125,158,710,152,206,28,145,359,48,55,22,240,892,77,358,10,22,17,20,25,54,531,125,386,9,12,14,11,10,17,15,197
"Zotu58",250,111,75,36,15,49,33,153,42,34,52,111,8,73,78,133,45,11,7,20,100,12,306,5,24,60,246,105,120,394,8,219,13,84,47,9,175,141,76,258,14,419,10,33,176,10,13,17,21,13,59,136,69,203,6,3,2,6,5,5,11,214
"Zotu236",262,0,2,1,0,1,0,0,0,1,2,3,1,2,1,3,1,2,0,3,1,1,3,0,5,0,1,2,2,1,1,10,6,4,2,1,336,586,8,2,2,5,7,4,83,7,2,17,9,7,4,6,14,7,4,0,4,6,4,6,5,4
"Zotu342",629,20,2,9,5,6,31,17,10,8,2,7,1,4,12,3,5,9,1,47,15,1,2,3,1,1,5,2,5,3,3,0,1,1,1,0,1,0,0,1,0,0,2,0,36,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3
"Zotu1",607,926,968,209,241,366,400,517,244,265,1709,1761,17626,318,227,235,312,336,1085,3005,885,5824,6195,8908,6029,6889,5370,709,464,300,8692,6794,5940,4456,4386,5730,492,335,345,457,11631,324,599,114,1940,4160,3101,3647,4894,3449,2078,392,1068,2523,121,75,336,700,105,239,223,188
"Zotu5769",1,1,0,2,10,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,8,0,0,8,0,0,0
"Zotu2615",74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Zotu802",323,1,1,1,0,2,5,1,1,1,1,0,1,2,1,0,0,1,0,0,0,1,3,1,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu70",262,12,25,9,15,12,5,9,4,5,7,32,8,12,13,10,15,14,3,291,20,4,700,397,193,81,6,6,4,11,125,100,192,3,167,5,44,18,46,23,1,6,3,2,48,74,2,48,150,2,36,8,38,19,5,2,4,0,3,4,2,12
