ANATOMY,Interdune,Stoss,Lee,Interdune,Interdune,Interdune,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Stoss,Lee,Interdune,Lee,Interdune,Stoss,Stoss,Lee,Lee,Lee,Stoss,Stoss,Lee,Stoss,Lee,"Stoss, Star","Stoss, Star","Lee, Star","Stoss, Star","Stoss, Star",Stoss,Lee,Stoss,Stoss,Lee,Lee,Lee,Lee,Interdune,Interdune,Stoss,Stoss,Stoss,Lee,Lee,Interdune,Lee,"Stoss, Crest",Lee,nan,nan,nan,nan,nan,nan,nan
Zotu,MF.4B,MF.5B,MF.6B,MF.7B,MF.8B,MF.11A,MF.12A,MF.13A,MF.14B,MF.15A,MF.16A,MF.17A,MF.18B,MF.19A,MF.20A,MF.27B,MF.30A,MF.33A,ED.01A,ED.02B,ED.03A,ED.04A,ED.05A,ED.06A,ED.08A,ED.09A,ED.10A,ED.11A,ED.12A,ED.13A,ED.14B,ED.15B,ED.16A,ED.17B,ED.18A,ED.19A,ED.20A,ED.21A,ED.22A,ED.23A,ED.24A,ED.33A,IX.1B,IX.2A,IX.3A,IX.4B,IX.5A,IX.6A,IX.7A,IX.8A,IX.9A,IX.10A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu1,607,926,968,209,241,366,400,517,244,265,1709,1761,17626,318,227,235,336,3005,885,5824,6195,8908,6029,6889,5370,709,464,300,8692,6794,5940,4456,4386,5730,492,335,345,457,11631,324,599,114,1940,4160,3101,3647,4894,3449,2078,392,1068,2523,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,sediminibacterium,sediminibacterium salmoneum
Zotu2,36,49,43,40,39,52,54,48,43,67,31,41,35,59,48,43,23,46,35,32,30,23,27,14960,34,83,32,40,42,127,135,100,109,97,125,128,120,125,4077,144,1007,65,5532,1115,1363,5340,81,4695,128,132,8271,1429,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiaceae,burkholderia,burkholderia thailandensis
Zotu3,1415,183,185,59,69,190,188,187,140,148,266,543,2424,148,77,56,550,696,134,637,1209,886,1522,494,796,475,308,278,1005,2245,1196,686,1263,2471,237,292,398,579,3178,243,1083,50,927,1155,811,530,747,693,558,80,191,451,bacteria,pseudomonadota,alphaproteobacteria,caulobacterales,caulobacteraceae,phenylobacterium,phenylobacterium deserti
Zotu4,71,1367,822,78,65,95,807,766,414,115,264,690,68,1319,2305,49,197,78,1229,234,246,391,649,341,297,534,292,1025,62,504,200,435,989,43,683,501,239,957,418,2368,255,58,618,54,51,189,60,107,566,2299,595,1490,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia agri
Zotu5,384,393,169,161,41,39,333,339,481,1176,414,283,34,570,146,23,105,463,48,316,316,28,283,77,238,456,165,408,35,326,106,192,210,28,402,442,22,427,43,784,826,27,56,1204,714,430,778,1357,480,134,91,165,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu6,34,46,89,27,37,30,60,97,35,15,98,160,2132,25,38,27,152,270,52,985,1854,165,519,165,331,230,36,30,237,743,1034,682,184,1130,40,21,23,152,257,14,22,21,117,191,236,265,587,270,268,25,76,53,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,pseudolabrys,pseudolabrys taiwanensis
Zotu7,1081,342,417,320,105,125,242,417,130,684,31,333,41,413,769,72,205,257,2892,81,120,44,209,62,70,273,236,819,125,158,710,152,206,28,145,359,48,55,22,240,892,77,358,10,22,17,20,25,54,531,125,386,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter globiformis
Zotu8,624,218,179,23,38,38,111,288,98,67,40,150,19,204,104,132,93,463,551,237,29,132,552,117,230,167,217,515,403,91,216,473,442,273,467,351,64,405,397,462,300,36,717,11,54,37,26,25,233,294,124,240,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu9,48,2198,800,66,53,60,56,1170,403,42,660,635,42,362,481,49,378,49,163,31,49,30,155,65,492,190,92,121,50,90,73,69,155,193,282,141,122,114,3,87,7,4,116,13,155,52,123,14,81,142,67,213,bacteria,bacillota,bacilli,bacillales,bacillaceae,domibacillus,domibacillus antri
Zotu10,39,186,88,27,34,45,534,381,217,1675,97,91,21,400,89,19,77,426,46,18,395,22,563,268,170,299,104,272,207,15,16,244,234,19,593,191,146,536,20,699,104,18,18,12,184,296,26,222,242,152,65,99,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu11,20,28,70,14,42,19,15,69,24,10,23,35,13,36,27,20,42,14,11,616,304,31,84,60,673,598,242,168,438,493,228,255,396,529,464,225,284,710,89,534,124,19,23,175,263,178,57,142,160,22,21,18,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu12,15,507,292,24,21,15,241,867,237,667,66,105,59,288,277,31,105,24,45,17,27,19,535,94,271,611,81,161,300,29,159,160,200,15,569,205,128,451,43,810,396,13,275,17,205,29,102,458,89,247,84,212,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter ginsengiterrae
Zotu13,31,90,240,36,21,18,1180,268,485,2194,17,457,52,202,210,25,150,23,50,26,40,43,30,123,32,37,42,44,42,23,20,36,16,14,24,13,13,9,16,20,7,12,16,109,700,1005,600,23,423,138,180,216,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu14,68,63,38,50,30,7581,30,57,39,623,51,47,26,63,42,280,59,53,53,42,54,43,48,54,48,74,71,59,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu15,5905,102,118,28,36,143,163,40,34,78,61,99,21,91,110,800,101,494,187,28,77,27,27,29,63,40,31,63,39,2,4,2,3,4,4,4,7,2,2,3,2,4,462,4,7,8,1,3,35,60,21,29,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter parietis
