ANATOMY,"Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth","Interdune, Depth",nan,nan,nan,nan,nan,nan,nan
Zotu,IX.10CM.A,IX.20CM.B,IX.30CM.A,IX.40CM.A,IX.50CM.A,IX.60CM.A,IX.70CM.A,IX.80CM.A,Domain,Phylum,Class,Order,Family,Genus,Species
Zotu1,0.404209,0.242986,1.066091,2.151926,0.340776,0.758441,0.700113,0.59036,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,sediminibacterium,sediminibacterium salmoneum
Zotu2,0.180391,0.17819,0.301425,0.236712,0.256394,0.425235,0.992088,0.737949,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,burkholderiaceae,burkholderia,burkholderia thailandensis
Zotu3,0.317354,0.311022,0.621887,3.44923,0.801636,0.285605,0.502323,0.499293,bacteria,pseudomonadota,alphaproteobacteria,caulobacterales,caulobacteraceae,phenylobacterium,phenylobacterium deserti
Zotu4,0.120261,0.103674,0.088841,0.126041,0.12982,0.130109,0.39558,2.552991,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,massilia,massilia agri
Zotu5,0.083514,0.087475,0.145953,0.064558,0.110347,0.139629,0.332789,0.587219,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,sphaerotilaceae,caldimonas,caldimonas caldifontis
Zotu6,0.06013,0.035638,0.04442,0.024593,0.155783,0.104722,0.188371,0.081645,bacteria,pseudomonadota,alphaproteobacteria,hyphomicrobiales,xanthobacteraceae,pseudolabrys,pseudolabrys taiwanensis
Zotu7,0.030065,0.038878,0.04442,0.033816,0.032455,0.053948,0.047093,0.618621,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter globiformis
Zotu8,0.083514,0.051837,0.031729,0.043039,0.077892,0.066641,0.091046,1.133616,bacteria,actinomycetota,actinomycetes,geodermatophilales,geodermatophilaceae,modestobacter,modestobacter marinus
Zotu9,0.016703,0.035638,0.019037,0.015371,0.022718,0.031734,0.037674,0.097347,bacteria,bacillota,bacilli,bacillales,bacillaceae,domibacillus,domibacillus antri
Zotu10,0.033406,0.035638,0.038075,0.030742,0.032455,0.044428,0.047093,0.172712,bacteria,pseudomonadota,betaproteobacteria,burkholderiales,oxalobacteraceae,herbaspirillum,herbaspirillum rhizosphaerae
Zotu11,0.106898,0.061556,0.26335,0.092225,0.162274,0.828256,0.213487,0.122468,bacteria,actinomycetota,thermoleophilia,solirubrobacterales,conexibacteraceae,conexibacter,conexibacter stalactiti
Zotu12,0.030065,0.012959,0.038075,0.021519,0.009736,0.038081,0.040814,0.684566,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter ginsengiterrae
Zotu13,0.026725,0.029158,0.025383,0.03689,0.045437,0.050774,0.053372,0.920082,bacteria,bacteroidota,chitinophagia,chitinophagales,chitinophagaceae,flavisolibacter,flavisolibacter metallilatus
Zotu14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bacteria,actinomycetota,acidimicrobiia,acidimicrobiales,acidimicrobiaceae,aciditerrimonas,aciditerrimonas ferrireducens
Zotu15,0.0,0.012959,0.006346,0.012297,0.016227,0.006347,0.012558,0.075365,bacteria,actinomycetota,actinomycetes,micrococcales,micrococcaceae,arthrobacter,arthrobacter parietis
